tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,zipcode,zip_city,cb_num,borocode,boroname,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp
455587,306648,2015-11-13,29,0,OnCurb,Alive,Fair,Acer saccharinum,silver maple,None,None,Damage,Volunteer,StonesRootOther,Yes,No,Yes,No,No,No,No,No,No,67-023 171 STREET,11365,Fresh Meadows,408,4,Queens,24,25,11,QN38,Pomonok-Flushing Heights-Hillcrest,4122300,New York,40.73399337,-73.79842241,1040115.053,206754.4386
648634,410333,2016-08-01,7,0,OnCurb,Alive,Fair,Pyrus calleryana,Callery pear,1or2,None,Damage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,41 KENNETH PLACE,10309,Staten Island,503,5,Staten Island,51,62,24,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,5019800,New York,40.51870095,-74.2113425,925489.4712,128324.2457
66778,341237,2015-07-14,4,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,TreesCount Staff,BranchLights,No,No,No,No,No,No,Yes,No,No,34-058 112 STREET,11368,Corona,403,4,Queens,21,35,13,QN26,North Corona,4038100,New York,40.75528279,-73.85630438,1024060.982,214479.2315
637562,229525,2016-07-22,13,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,NoDamage,Volunteer,TrunkOther,No,No,No,No,No,Yes,No,No,No,2011 OCEAN AVENUE,11210,Brooklyn,314,3,Brooklyn,48,41,17,BK43,Midwood,3054600,New York,40.61271345,-73.95379529,997078.454,162507.8013
119891,500283,2015-08-05,7,0,OnCurb,Alive,Good,Quercus palustris,pin oak,None,None,Damage,Volunteer,None,No,No,No,No,No,No,No,No,No,291 CYPRESS AVENUE,10454,Bronx,201,2,Bronx,8,84,29,BX39,Mott Haven-Port Morris,2002702,New York,40.80716581,-73.91371454,1008136.84,233361.0861
415453,343082,2015-11-02,16,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,NoDamage,NYC Parks Staff,WiresRopeBranchLights,No,No,No,Yes,No,No,Yes,No,No,50-019 97 STREET,11368,Corona,404,4,Queens,21,39,13,QN25,Corona,4044302,New York,40.74153689,-73.86576624,1021447.244,209467.0047
528867,413247,2015-12-21,5,0,OnCurb,Alive,Good,Pyrus calleryana,Callery pear,None,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,359 GRANTWOOD AVENUE,10312,Staten Island,503,5,Staten Island,51,63,24,SI48,Arden Heights,5017008,New York,40.55372198,-74.18268766,933483.1071,141065.2852
106724,108464,2015-07-31,2,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,400 ST NICHOLAS AVENUE,10027,New York,109,1,Manhattan,9,70,30,MN06,Manhattanville,1021703,New York,40.81327106,-73.95037533,997986.5896,235577.5709
107991,409871,2015-08-01,8,0,OnCurb,Alive,Good,Pyrus calleryana,Callery pear,3or4,Harmful,NoDamage,TreesCount Staff,BranchLights,No,No,No,No,No,No,Yes,No,No,242 FINLAY STREET,10307,Staten Island,503,5,Staten Island,51,62,24,SI11,Charleston-Richmond Valley-Tottenville,5024402,New York,40.5013558,-74.2481927,915225.9638,122031.9105
308369,405582,2015-10-10,12,0,OnCurb,Alive,Good,Pyrus calleryana,Callery pear,1or2,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,20 EBBITTS STREET,10306,Staten Island,502,5,Staten Island,50,64,24,SI45,New Dorp-Midland Beach,5012804,New York,40.565211,-74.11147837,953276.6994,145217.787
